pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=64,sr<=15%,kvB<=1k,kp<=512,0.1165,4
16,n<=64,sr<=15%,kvB<=1k,kp=0,0.0959,4
16,n<=64,sr<=15%,kvB<=2k,kp<=1k,0.1347,2
16,n<=64,sr<=15%,kvB<=2k,kp<=2k,0.0291,2
16,n<=64,sr<=15%,kvB<=2k,kp<=512,0.0952,2
16,n<=64,sr<=15%,kvB<=2k,kp=0,0.0951,2
16,n<=64,sr<=40%,kvB<=1k,kp<=1k,0.0243,2
16,n<=64,sr<=40%,kvB<=1k,kp<=2k,0.0128,2
16,n<=64,sr<=40%,kvB<=1k,kp<=512,0.0496,2
16,n<=64,sr<=40%,kvB<=1k,kp=0,0.0677,2
16,n<=64,sr<=40%,kvB<=2k,kp<=1k,0.0146,1
16,n<=64,sr<=40%,kvB<=2k,kp<=2k,0.0008,1
16,n<=64,sr<=40%,kvB<=2k,kp<=512,0.0135,1
16,n<=64,sr<=40%,kvB<=2k,kp=0,0.017,1
16,n<=64,sr<=5%,kvB<=1k,kp<=1k,-0.0059,6
16,n<=64,sr<=5%,kvB<=1k,kp<=2k,-0.0062,6
16,n<=64,sr<=5%,kvB<=1k,kp<=512,0.0844,6
16,n<=64,sr<=5%,kvB<=1k,kp=0,0.0879,6
16,n<=64,sr<=5%,kvB<=2k,kp<=1k,0.1279,3
16,n<=64,sr<=5%,kvB<=2k,kp<=2k,-0.0021,3
16,n<=64,sr<=5%,kvB<=2k,kp<=512,0.1269,3
16,n<=64,sr<=5%,kvB<=2k,kp=0,0.1283,3
16,n<=64,sr<=70%,kvB<=1k,kp<=1k,-0.1874,2
16,n<=64,sr<=70%,kvB<=1k,kp<=2k,-0.0117,2
16,n<=64,sr<=70%,kvB<=1k,kp<=512,-0.1904,2
16,n<=64,sr<=70%,kvB<=1k,kp=0,-0.1998,2
16,n<=64,sr<=70%,kvB<=2k,kp<=1k,-0.2076,1
16,n<=64,sr<=70%,kvB<=2k,kp<=2k,-0.2062,1
16,n<=64,sr<=70%,kvB<=2k,kp<=512,-0.2054,1
16,n<=64,sr<=70%,kvB<=2k,kp=0,-0.2068,1
16,n<=64,sr>70%,kvB<=1k,kp<=1k,-0.1815,4
16,n<=64,sr>70%,kvB<=1k,kp<=2k,0.3964,4
16,n<=64,sr>70%,kvB<=1k,kp<=512,-0.2245,4
16,n<=64,sr>70%,kvB<=1k,kp=0,-0.2296,4
16,n<=64,sr>70%,kvB<=2k,kp<=1k,-0.4632,2
16,n<=64,sr>70%,kvB<=2k,kp<=2k,-0.4906,2
16,n<=64,sr>70%,kvB<=2k,kp<=512,-0.4752,2
16,n<=64,sr>70%,kvB<=2k,kp=0,-0.4963,2
16,n<=8,sr<=15%,kvB<=1k,kp<=1k,0.0533,2
16,n<=8,sr<=15%,kvB<=1k,kp<=2k,0.4522,2
16,n<=8,sr<=15%,kvB<=1k,kp<=512,0.968,2
16,n<=8,sr<=15%,kvB<=1k,kp=0,0.9484,5
16,n<=8,sr<=15%,kvB<=2k,kp<=1k,0.9849,1
16,n<=8,sr<=15%,kvB<=2k,kp<=2k,-0.616,1
16,n<=8,sr<=15%,kvB<=2k,kp<=512,0.9806,1
16,n<=8,sr<=15%,kvB<=2k,kp=0,0.9844,2
16,n<=8,sr<=40%,kvB<=1k,kp<=1k,0.2201,4
16,n<=8,sr<=40%,kvB<=1k,kp<=2k,0.0883,4
16,n<=8,sr<=40%,kvB<=1k,kp<=512,0.9748,4
16,n<=8,sr<=40%,kvB<=1k,kp=0,0.973,4
16,n<=8,sr<=40%,kvB<=2k,kp<=1k,0.9839,2
16,n<=8,sr<=40%,kvB<=2k,kp<=2k,0.4138,2
16,n<=8,sr<=40%,kvB<=2k,kp<=512,0.9738,2
16,n<=8,sr<=40%,kvB<=2k,kp=0,0.9746,2
16,n<=8,sr<=70%,kvB<=1k,kp<=1k,0.2229,2
16,n<=8,sr<=70%,kvB<=1k,kp<=2k,0.75,1
16,n<=8,sr<=70%,kvB<=1k,kp<=512,0.9593,2
16,n<=8,sr<=70%,kvB<=1k,kp=0,0.9755,4
16,n<=8,sr<=70%,kvB<=2k,kp<=1k,0.971,1
16,n<=8,sr<=70%,kvB<=2k,kp<=2k,-20.6615,1
16,n<=8,sr<=70%,kvB<=2k,kp<=512,0.969,1
16,n<=8,sr<=70%,kvB<=2k,kp=0,0.9705,1
16,n<=8,sr>70%,kvB<=1k,kp<=1k,0.3634,4
16,n<=8,sr>70%,kvB<=1k,kp<=2k,0.7375,4
16,n<=8,sr>70%,kvB<=1k,kp<=512,1.0171,4
16,n<=8,sr>70%,kvB<=1k,kp=0,0.9544,4
16,n<=8,sr>70%,kvB<=2k,kp<=1k,0.9933,2
16,n<=8,sr>70%,kvB<=2k,kp<=2k,0.816,2
16,n<=8,sr>70%,kvB<=2k,kp<=512,0.9804,2
16,n<=8,sr>70%,kvB<=2k,kp=0,0.9781,2
32,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.0593,4
32,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0885,4
32,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0515,4
